NumberOfPlayers,Score,WinPercentage,AverageOpponentScore
11,900,0.052,374.0415
11,950,0.0442,373.446
12,50,0.0007,374.981363636362
12,100,0.004,375.91590909090917
12,150,0.025,375.35499999999973
12,200,0.053,375.65772727272764
12,250,0.0903,375.35636363636405
12,300,0.1074,375.6795454545453
12,350,0.1274,375.6909090909082
12,400,0.1307,374.3127272727274
12,450,0.1172,375.1336363636379
12,500,0.1212,374.51409090909146
12,550,0.1132,375.3763636363638
12,600,0.1032,374.6009090909076
12,650,0.0871,375.0009090909092
12,700,0.0796,374.93818181818256
12,750,0.0751,375.18318181818074
12,800,0.0599,374.5563636363631
12,850,0.0546,374.99818181818273
12,900,0.0509,375.12090909091
12,950,0.0401,374.12681818182017
13,50,0.0004,374.2533333333348
13,100,0.0043,373.9216666666653
13,150,0.0224,373.3420833333333
13,200,0.0504,375.0437500000007
13,250,0.0745,374.9866666666666
13,300,0.1003,376.5337500000011
13,350,0.11,374.74583333333385
13,400,0.123,375.51041666666794
13,450,0.1214,374.59291666666644
13,500,0.115,374.5058333333333
13,550,0.1067,375.3862499999991
13,600,0.0867,374.48083333333153
13,650,0.085,374.35583333333346
13,700,0.0746,375.61625000000004
13,750,0.0708,374.53625000000056
13,800,0.0604,374.5075000000003
13,850,0.0537,375.70499999999964
13,900,0.0423,376.1875000000008
13,950,0.0418,374.94791666666663
14,50,0.0007,374.82346153846174
14,100,0.0027,375.0773076923091
14,150,0.017,374.31230769230945
14,200,0.0421,375.6873076923068
14,250,0.0769,375.3269230769243
14,300,0.0863,374.9830769230759
14,350,0.1139,375.33961538461523
14,400,0.1069,375.60500000000127
14,450,0.1072,375.2176923076912
14,500,0.0969,375.35730769230696
14,550,0.0962,373.58384615384665
14,600,0.0921,375.63269230769345
14,650,0.0771,375.9857692307692
14,700,0.0709,374.8361538461545
14,750,0.063,374.99692307692186
14,800,0.0559,376.8796153846167
14,850,0.0488,375.0211538461544
14,900,0.0482,374.54230769230725
14,950,0.0367,375.07307692307916
15,50,0.0007,374.13749999999925
15,100,0.0038,375.34678571428367
15,150,0.0167,375.50500000000096
15,200,0.0387,374.99678571428706
15,250,0.0677,375.1864285714299
15,300,0.0814,374.31607142857274
15,350,0.0981,374.19142857143
15,400,0.0982,375.49928571428575
15,450,0.1036,374.75464285714315
15,500,0.0982,374.72071428571434
15,550,0.0911,374.7742857142859
15,600,0.084,374.6732142857146
15,650,0.0713,375.4221428571438
15,700,0.066,374.8267857142874
15,750,0.0579,375.2617857142863
15,800,0.0527,375.0839285714289
15,850,0.0484,374.62035714285855
15,900,0.0406,374.6385714285707
15,950,0.0346,374.7446428571427
16,50,0.0007,375.5686666666671
16,100,0.0026,374.52633333333375
16,150,0.0166,375.1940000000008
16,200,0.0374,375.1646666666653
16,250,0.0645,374.9033333333321
16,300,0.0809,374.3059999999997
16,350,0.0913,375.6506666666662
16,400,0.0946,375.6966666666652
16,450,0.0978,374.5136666666665
16,500,0.0925,375.29766666666757
16,550,0.0854,376.1216666666661
16,600,0.0819,374.80766666666784
16,650,0.0765,374.5679999999991
16,700,0.0644,375.7403333333332
16,750,0.0565,375.5623333333329
16,800,0.0483,374.6483333333339
16,850,0.0428,375.56866666666497
16,900,0.0416,375.1246666666679
16,950,0.0301,374.54766666666586
17,50,0.0004,375.9459375
17,100,0.0025,374.42625
17,150,0.0138,375.0875
17,200,0.0318,374.624375
17,250,0.0615,374.37875
17,300,0.071,375.2846875
17,350,0.0845,374.6028125
17,400,0.0936,373.811875
17,450,0.0877,375.144375
17,500,0.0925,375.574375
17,550,0.0868,375.145625
17,600,0.0768,375.25375
17,650,0.0651,376.0228125
17,700,0.0597,375.3634375
17,750,0.0528,374.9390625
17,800,0.0475,375.6534375
17,850,0.0399,375.705
17,900,0.0422,374.7846875
17,950,0.0344,375.185625
18,50,0.0003,375.6038235294117
18,100,0.0016,374.70470588235247
18,150,0.0131,375.9885294117663
18,200,0.0294,375.2379411764706
18,250,0.0513,375.2629411764716
18,300,0.0676,374.4802941176475
18,350,0.0808,375.63794117646967
18,400,0.084,374.54264705882525
18,450,0.0879,374.9720588235282
18,500,0.0872,375.1391176470582
18,550,0.0804,375.1758823529414
18,600,0.0706,374.3888235294127
18,650,0.0641,374.9014705882353
18,700,0.0616,375.20117647058737
18,750,0.0516,375.5661764705888
18,800,0.0426,375.054117647059
18,850,0.0377,375.4864705882359
18,900,0.0378,374.4144117647054
18,950,0.0296,375.0735294117652
19,50,0.0002,375.8380555555559
19,100,0.0017,374.1277777777773
19,150,0.0111,375.30694444444475
19,200,0.0253,375.196666666666
