MaxOpponentScore,Score,WinPercentage,AverageOpponentScore
650,300,0.2285,325.126
650,350,0.2382,322.993
650,400,0.2401,325.301
650,450,0.2361,325.266
650,500,0.2164,325.205
650,550,0.2023,325.326
650,600,0.1799,325.818
650,650,0.1562,326.157
650,700,0.1442,325.498
650,750,0.1238,325.105
650,800,0.1069,326.129
650,850,0.0965,325.166
650,900,0.0897,326.741
650,950,0.0728,323.645
700,50,0.0043,350.043
700,100,0.0249,350.277
700,150,0.084,350.812
700,200,0.1544,349.902
700,250,0.2015,350.383
700,300,0.2291,350.623
700,350,0.2501,350.452
700,400,0.2406,349.257
700,450,0.2271,350.776
700,500,0.2189,348.134
700,550,0.199,349.343
700,600,0.1839,349.911
700,650,0.1655,350.724
700,700,0.1466,350.664
700,750,0.1243,350.849
700,800,0.1095,348.605
700,850,0.0972,350.299
700,900,0.0932,350.58
700,950,0.0732,349.181
750,50,0.0066,374.224
750,100,0.0236,375.174
750,150,0.0841,374.741
750,200,0.1476,375.763
750,250,0.2047,373.637
750,300,0.2376,374.014
750,350,0.2464,374.709
750,400,0.2435,374.73
750,450,0.2323,376.425
750,500,0.2195,376.161
750,550,0.1975,374.449
750,600,0.179,374.04
750,650,0.162,375.188
750,700,0.1437,374.115
750,750,0.1355,373.545
750,800,0.1061,374.738
750,850,0.0936,374.883
750,900,0.0856,375.095
750,950,0.0747,374.911
800,50,0.0056,401.396
800,100,0.0227,399.462
800,150,0.0902,398.278
800,200,0.1518,401.219
800,250,0.2082,399.838
800,300,0.2369,399.187
800,350,0.2444,400.291
800,400,0.2469,399.876
800,450,0.2283,399.595
800,500,0.2194,401.47
800,550,0.2031,401.898
800,600,0.1835,400.27
800,650,0.1661,400.217
800,700,0.1462,400.856
800,750,0.1265,401.578
800,800,0.1097,399.987
800,850,0.098,400.657
800,900,0.095,400.436
800,950,0.0748,399.798
850,50,0.0053,425.036
850,100,0.0252,424.057
850,150,0.0888,426.183
850,200,0.1517,423.23
850,250,0.2168,425.51
850,300,0.2303,424.164
850,350,0.2532,425.833
850,400,0.2453,425.653
850,450,0.2499,424.144
850,500,0.218,424.861
850,550,0.2056,425.857
850,600,0.1841,425.273
850,650,0.1617,424.823
850,700,0.1504,425.418
850,750,0.1339,426.103
850,800,0.1155,423.294
850,850,0.0953,425.464
850,900,0.089,423.419
850,950,0.0781,425.528
900,50,0.0056,449.515
900,100,0.0306,452.226
900,150,0.1017,450.158
900,200,0.163,448.973
900,250,0.2206,450.58
900,300,0.2434,450.925
900,350,0.2584,449.486
900,400,0.251,450.379
900,450,0.2428,449.687
900,500,0.2343,450.993
900,550,0.2042,448.816
900,600,0.1892,448.964
900,650,0.173,449.281
900,700,0.1446,450.378
900,750,0.1351,449.346
900,800,0.1157,449.671
900,850,0.1083,450.369
900,900,0.0922,449.615
900,950,0.0785,450.411
950,50,0.0087,474.956
950,100,0.0314,475.466
950,150,0.1046,476.612
950,200,0.1741,474.006
950,250,0.2233,474.751
950,300,0.2583,475.822
950,350,0.2612,474.885
950,400,0.265,475.547
950,450,0.2508,474.678
950,500,0.237,474.757
950,550,0.2149,473.489
950,600,0.2019,474.54
950,650,0.1769,475.23
950,700,0.1501,475.627
950,750,0.1411,474.974
950,800,0.1202,473.37
950,850,0.1026,475.415
950,900,0.0933,474.29
950,950,0.0801,476.082
1000,50,0.0085,500.926
1000,100,0.0325,497.702
1000,150,0.1104,497.767
1000,200,0.1771,500.057
1000,250,0.2315,500.16
1000,300,0.2575,500.526
1000,350,0.2703,498.229
1000,400,0.2613,500.851
1000,450,0.2622,500.784
1000,500,0.2456,498.683
1000,550,0.2258,500.562
1000,600,0.1999,500.595
1000,650,0.1792,500.898
1000,700,0.1596,497.696
1000,750,0.142,499.982
